source_rack,target_rack,source_row,source_col,target_row,target_col,manhattan_distance,euclidean_m,source_delta_power_W,delta_inlet_K,delta_inlet_K_per_kW
129,24,6,9,1,4,10,12.36931687685298,13923.15131660198,2.3296086709478914e-05,1.6731906577572447e-06
129,25,6,9,1,5,9,12.237646832622683,13923.15131660198,2.4044874887607648e-05,1.7269707367854658e-06
129,26,6,9,1,6,8,12.134249049694011,13923.15131660198,2.398362554600908e-05,1.72257163630844e-06
129,27,6,9,1,7,7,12.059850745345068,13923.15131660198,2.3237861778824254e-05,1.6690087790050377e-06
129,28,6,9,1,8,6,12.014990636700473,13923.15131660198,2.2021136178551615e-05,1.5816201144272266e-06
129,29,6,9,1,9,5,12.0,13923.15131660198,2.0654554582222318e-05,1.4834683695201824e-06
129,30,6,9,1,10,6,12.014990636700473,13923.15131660198,1.944636091266716e-05,1.3966924922721555e-06
129,31,6,9,1,11,7,12.059850745345068,13923.15131660198,1.8202259376209895e-05,1.3073376107394238e-06
129,32,6,9,1,12,8,12.134249049694011,13923.15131660198,1.5772150888437864e-05,1.1328003646438243e-06
129,33,6,9,1,13,9,12.237646832622683,13923.15131660198,1.1623056998644188e-05,8.348007383059067e-07
129,34,6,9,1,14,10,12.36931687685298,13923.15131660198,6.688862097092851e-06,4.804129428024707e-07
129,35,6,9,1,15,11,12.528367810692659,13923.15131660198,1.7886575065517718e-06,1.2846642731081826e-07
129,36,6,9,1,16,12,12.713772060250253,13923.15131660198,-2.6617609023560362e-06,-1.911751759231511e-07
129,37,6,9,1,17,13,12.924395537122809,13923.15131660198,-6.446254058545264e-06,-4.629881491597915e-07
129,38,6,9,1,18,14,13.159027319676785,13923.15131660198,-9.502267801053677e-06,-6.824796761149298e-07
129,39,6,9,1,19,15,13.416407864998739,13923.15131660198,-1.1871601955704136e-05,-8.526519381821575e-07
129,40,6,9,2,0,13,9.985990186255941,13923.15131660198,0.0006549254860210851,4.7038595726540105e-05
129,41,6,9,2,1,12,9.674709297958259,13923.15131660198,0.0007176774388142348,5.1545617977912483e-05
129,42,6,9,2,2,11,9.391485505499116,13923.15131660198,0.000777992697567953,5.587762999029349e-05
129,43,6,9,2,3,10,9.13892772703669,13923.15131660198,0.000832647185799118,5.9803069496649703e-05
129,44,6,9,2,4,9,8.919641248391102,13923.15131660198,0.0008785534846715848,6.3100189367618e-05
129,45,6,9,2,5,8,8.73613186713662,13923.15131660198,0.0009140568464864884,6.565014095598934e-05
129,46,6,9,2,6,7,8.59069263796581,13923.15131660198,0.0009390792193819664,6.744731835688716e-05
129,47,6,9,2,7,6,8.485281374238568,13923.15131660198,0.0009541149956717732,6.852723022079675e-05
129,48,6,9,2,8,5,8.421401308570918,13923.15131660198,0.0009586925461277929,6.885600280625026e-05
129,49,6,9,2,9,4,8.399999999999999,13923.15131660198,0.0009508696472195766,6.829414014094343e-05
129,50,6,9,2,10,5,8.421401308570918,13923.15131660198,0.0009287338231089848,6.67042828157417e-05
129,51,6,9,2,11,6,8.485281374238568,13923.15131660198,0.000891444916870654,6.40260883904705e-05
129,52,6,9,2,12,7,8.59069263796581,13923.15131660198,0.0008373618929837789,6.014169306522639e-05
129,53,6,9,2,13,8,8.73613186713662,13923.15131660198,0.000765393852422136,5.497274539489344e-05
129,54,6,9,2,14,9,8.919641248391102,13923.15131660198,0.0006776256001472802,4.866898195233135e-05
129,55,6,9,2,15,10,9.138927727036688,13923.15131660198,0.0005786418839939245,4.155969225903272e-05
129,56,6,9,2,16,11,9.391485505499116,13923.15131660198,0.0004743906133732878,3.407207194592678e-05
129,57,6,9,2,17,12,9.674709297958257,13923.15131660198,0.0003714952577560382,2.6681837272935968e-05
129,58,6,9,2,18,13,9.985990186255941,13923.15131660198,0.0002768031377442526,1.9880782119647888e-05
129,59,6,9,2,19,14,10.322790320451151,13923.15131660198,0.00019659976944552682,1.4120349982198431e-05
129,60,6,9,3,0,12,9.0,13923.15131660198,0.0010188421273227277,7.317611538903979e-05
129,61,6,9,3,1,11,8.653323061113573,13923.15131660198,0.0011313997919728536,8.126032435083653e-05
129,62,6,9,3,2,10,8.335466393669883,13923.15131660198,0.0012435029698032452,8.931189078728829e-05
129,63,6,9,3,3,9,8.049844718999243,13923.15131660198,0.0013427484157730873,9.643997865425716e-05
129,64,6,9,3,4,8,7.799999999999999,13923.15131660198,0.0014197945601708284,0.00010197365006569052
129,65,6,9,3,5,7,7.58946638440411,13923.15131660198,0.0014713601595488512,0.00010567723686191644
129,66,6,9,3,6,6,7.421590126111789,13923.15131660198,0.001501262159166572,0.00010782488281776163
129,67,6,9,3,7,5,7.2993150363578625,13923.15131660198,0.0015187881003377868,0.00010908364534735627
129,68,6,9,3,8,4,7.224956747275376,13923.15131660198,0.0015301153209463791,0.00010989719828167551
129,69,6,9,3,9,3,7.199999999999999,13923.15131660198,0.0015263492126855738,0.00010962670576348284
129,70,6,9,3,10,4,7.224956747275376,13923.15131660198,0.00149604450206553,0.00010745013596754099
129,71,6,9,3,11,5,7.2993150363578625,13923.15131660198,0.0014363739413454368,0.0001031644279864073
129,72,6,9,3,12,6,7.421590126111789,13923.15131660198,0.0013441597362700008,9.654134367319728e-05
129,73,6,9,3,13,7,7.589466384404109,13923.15131660198,0.0012195293257590833,8.759003605059692e-05
129,74,6,9,3,14,8,7.799999999999999,13923.15131660198,0.0010681990644343387,7.672106983141216e-05
129,75,6,9,3,15,9,8.049844718999243,13923.15131660198,0.0008994574680940559,6.460157241999819e-05
129,76,6,9,3,16,10,8.335466393669883,13923.15131660198,0.0007237023321806646,5.197834281365033e-05
129,77,6,9,3,17,11,8.653323061113573,13923.15131660198,0.0005510630027814045,3.957889921977049e-05
129,78,6,9,3,18,12,9.0,13923.15131660198,0.00039136377024107105,2.810884988188044e-05
129,79,6,9,3,19,13,9.372299611087984,13923.15131660198,0.00025575592483306764,1.8369111921386936e-05
129,80,6,9,4,0,11,6.489992295835181,13923.15131660198,0.015173746018092515,0.001089821238960416
129,81,6,9,4,1,10,6.0,13923.15131660198,0.01843023425773893,0.0013237114097699061
129,82,6,9,4,2,9,5.531726674375732,13923.15131660198,0.021989979173582697,0.0015793823304471183
129,83,6,9,4,3,8,5.091168824543142,13923.15131660198,0.025689584937367727,0.0018450984517230263
129,84,6,9,4,4,7,4.686149805543993,13923.15131660198,0.02927490824980339,0.0021026064849913656
129,85,6,9,4,5,6,4.326661530556787,13923.15131660198,0.03237893187059626,0.0023255462168243184
129,86,6,9,4,6,5,4.024922359499621,13923.15131660198,0.0345335437264751,0.0024802965177356993
129,87,6,9,4,7,4,3.794733192202055,13923.15131660198,0.03526019744504438,0.00253248683744463
129,88,6,9,4,8,3,3.6496575181789317,13923.15131660198,0.03426828985251262,0.002461245236317376
129,89,6,9,4,9,2,3.5999999999999996,13923.15131660198,0.03166317696537746,0.0022741386806320388
129,90,6,9,4,10,3,3.6496575181789312,13923.15131660198,0.02788375520723463,0.0020026899495077678
129,91,6,9,4,11,4,3.7947331922020546,13923.15131660198,0.02349758296674409,0.0016876626873059658
129,92,6,9,4,12,5,4.024922359499621,13923.15131660198,0.019061485148167634,0.001369049629263075
